Date,Behavior,Day,Laptop (65W) (hrs),Laptop (65W) (kWh),Fan (70W) (hrs),Fan (70W) (kWh),LED Tube (18W) (hrs),LED Tube (18W) (kWh),Charger (10W) (hrs),Charger (10W) (kWh),Air Cooler (120W) (hrs),Air Cooler (120W) (kWh),Total Daily Consumption (kWh)
2024-03-01,Normal college day. Moderate evening device usage.,Friday,4.82,0.313,11.26,0.788,5.48,0.099,3.62,0.036,4.42,0.53,1.766
2024-03-02,Out most of the day. Minimal appliance usage.,Saturday,4.6,0.299,8.99,0.629,6.71,0.121,3.31,0.033,5.9,0.708,1.79
2024-03-03,Stayed home all day. Fan and laptop usage high.,Sunday,5.08,0.33,10.75,0.752,6.82,0.123,5.17,0.052,1.14,0.137,1.394
2024-03-04,Normal college day. Moderate evening device usage.,Monday,3.83,0.249,8.29,0.58,5.17,0.093,5.22,0.052,2.32,0.278,1.252
2024-03-05,Normal college day. Moderate evening device usage.,Tuesday,3.49,0.227,10.38,0.727,6.62,0.119,3.14,0.031,2.31,0.277,1.381
2024-03-06,Normal college day. Moderate evening device usage.,Wednesday,2.97,0.193,10.78,0.755,4.32,0.078,4.99,0.05,1.72,0.206,1.282
2024-03-07,Normal college day. Moderate evening device usage.,Thursday,3.1,0.202,11.75,0.822,4.06,0.073,4.31,0.043,0.13,0.016,1.156
2024-03-08,Normal college day. Moderate evening device usage.,Friday,3.95,0.257,10.0,0.7,4.96,0.089,3.4,0.034,2.26,0.271,1.351
2024-03-09,Weekend at home. Regular fan and laptop use.,Saturday,4.52,0.294,11.13,0.779,5.59,0.101,4.77,0.048,1.2,0.144,1.366
2024-03-10,Weekend at home. Regular fan and laptop use.,Sunday,3.36,0.218,8.65,0.606,4.75,0.086,3.67,0.037,3.12,0.374,1.321
2024-03-11,Normal college day. Moderate evening device usage.,Monday,4.19,0.272,11.78,0.825,4.59,0.083,4.93,0.049,4.9,0.588,1.817
2024-03-12,Normal college day. Moderate evening device usage.,Tuesday,4.18,0.272,9.02,0.631,4.79,0.086,3.12,0.031,1.83,0.22,1.24
2024-03-13,Stayed home all day. Fan and laptop usage high.,Wednesday,4.73,0.307,8.19,0.573,4.66,0.084,5.12,0.051,4.7,0.564,1.579
2024-03-14,Normal college day. Moderate evening device usage.,Thursday,3.87,0.252,10.79,0.755,5.16,0.093,3.48,0.035,2.39,0.287,1.422
2024-03-15,Stayed home all day. Fan and laptop usage high.,Friday,4.24,0.276,11.79,0.825,4.21,0.076,4.52,0.045,1.97,0.236,1.458
2024-03-16,Stayed home all day. Fan and laptop usage high.,Saturday,4.02,0.261,8.1,0.567,4.94,0.089,5.46,0.055,3.32,0.398,1.37
2024-03-17,Weekend at home. Regular fan and laptop use.,Sunday,3.85,0.25,9.14,0.64,4.89,0.088,4.15,0.042,5.01,0.601,1.621
2024-03-18,Normal college day. Moderate evening device usage.,Monday,5.4,0.351,9.75,0.682,5.18,0.093,5.54,0.055,2.56,0.307,1.488
2024-03-19,Normal college day. Moderate evening device usage.,Tuesday,4.16,0.27,8.92,0.624,6.23,0.112,4.6,0.046,4.85,0.582,1.634
2024-03-20,Normal college day. Moderate evening device usage.,Wednesday,4.84,0.315,8.86,0.62,6.15,0.111,5.4,0.054,2.08,0.25,1.35
2024-03-21,Normal college day. Moderate evening device usage.,Thursday,3.02,0.196,8.01,0.561,5.35,0.096,4.06,0.041,3.33,0.4,1.294
2024-03-22,Normal college day. Moderate evening device usage.,Friday,3.06,0.199,11.44,0.801,4.77,0.086,3.68,0.037,2.88,0.346,1.469
2024-03-23,Out most of the day. Minimal appliance usage.,Saturday,4.0,0.26,8.86,0.62,4.82,0.087,3.51,0.035,4.31,0.517,1.519
2024-03-24,Stayed home all day. Fan and laptop usage high.,Sunday,4.81,0.313,9.85,0.69,6.14,0.111,5.21,0.052,0.83,0.1,1.266
2024-03-25,Normal college day. Moderate evening device usage.,Monday,5.4,0.351,11.28,0.79,4.61,0.083,3.56,0.036,0.75,0.09,1.35
2024-03-26,Normal college day. Moderate evening device usage.,Tuesday,2.92,0.19,10.99,0.769,5.41,0.097,5.35,0.054,4.48,0.538,1.648
2024-03-27,Normal college day. Moderate evening device usage.,Wednesday,4.31,0.28,10.75,0.752,4.06,0.073,3.94,0.039,3.83,0.46,1.604
2024-03-28,Normal college day. Moderate evening device usage.,Thursday,2.53,0.164,8.13,0.569,6.56,0.118,5.05,0.05,1.59,0.191,1.092
2024-03-29,Normal college day. Moderate evening device usage.,Friday,4.56,0.296,11.17,0.782,4.92,0.089,3.11,0.031,5.6,0.672,1.87
2024-03-30,Stayed home all day. Fan and laptop usage high.,Saturday,3.54,0.23,8.43,0.59,5.48,0.099,5.31,0.053,1.33,0.16,1.132
2024-03-31,Weekend at home. Regular fan and laptop use.,Sunday,3.31,0.215,8.97,0.628,6.98,0.126,3.59,0.036,3.45,0.414,1.419
2024-04-01,Normal college day. Moderate evening device usage.,Monday,5.28,0.343,8.59,0.601,6.91,0.124,5.84,0.058,5.31,0.637,1.763
2024-04-02,Stayed home all day. Fan and laptop usage high.,Tuesday,3.14,0.204,10.54,0.738,6.28,0.113,5.96,0.06,1.08,0.13,1.245
2024-04-03,Stayed home all day. Fan and laptop usage high.,Wednesday,4.8,0.312,9.36,0.655,4.53,0.082,4.26,0.043,4.76,0.571,1.663
2024-04-04,Normal college day. Moderate evening device usage.,Thursday,3.89,0.253,10.15,0.71,6.99,0.126,4.2,0.042,3.69,0.443,1.574
2024-04-05,Normal college day. Moderate evening device usage.,Friday,3.6,0.234,9.57,0.67,6.09,0.11,5.81,0.058,3.25,0.39,1.462
